Lien,,Auteuræ,Titre bref,Lieu/Imprimeur,Date,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=17&tbl=gln_edit&no=5667,18,Bréviaire,Breviarium secundum usum Ecclesie Beate Marie viriginis de Belna Eduensis dyocesis [Beaune],"Ge, J. Vivian.",1517,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=18&tbl=gln_edit&no=5676,19,Bréviaire,Breviarium secundum usum Ecclesie Gebennensis,"Ly, D. de Harsy etc..",1525,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=19&tbl=gln_edit&no=5675,20,Bréviaire,[Breviarium secundum usum Ecclesie Gebennensis],"[Ge ?], [G. Pomard ?].",[± 1520],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=20&tbl=gln_edit&no=5781,21,[F. Buffereau],Mirouer du monde,"Ge, J. Vivian.",1517,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=21&tbl=gln_edit&no=6258,22,[F. Buffereau],Mirouer du monde,"Ge, J. Vivian.",1522,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=22&tbl=gln_edit&no=10,23,[J. Calvin],Instruction et confession de foy dont on use en l'Eglise de Geneve,"[Ge], [W. Koeln].",[1537],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=23&tbl=gln_edit&no=5820,24,J. Carion,"Prognostication Dallemaigne pour l’an 1534, translatée par W. Köln","[Ge], [W. Koeln].",[1533],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=24&tbl=gln_edit&no=1308,25,J. Carion,Pronostication D'allemaigne pour l’an Mil D. xxxvi.,"[Ge], [W. Koeln].",[1535],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=25&tbl=gln_edit&no=5748,26,Cato,Cato morosus [= Disticha de moribus],"Ge, W. Koeln.",1524,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=26&tbl=gln_edit&no=5749,27,Cato,Cato morosus [= Disticha de moribus],"[Ge], [J. Vivian].",[± 1525],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=27&tbl=gln_edit&no=1311,28,Ce que les,Ce que les hostes ou hostesses observeront et feront observer che eulx,"[Ge], [W. Koeln].",[1536],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=28&tbl=gln_edit&no=4821,29,Chansons,Chansons nouvelles demonstrantz plusieurs erreurs et faulsetez.,"[Ne], [P. de Vingle].",[± 1534],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=29&tbl=gln_edit&no=1309,30,Chansons,Chansons nouvelles demonstrantz plusieurs erreurs et faulsetez.,"[Ge], [W. Koeln].",[± 1535],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=30&tbl=gln_edit&no=5801,31,Chansons,Sensuyvent plusieurs belles chansons composées nouvellement,"Ge, J. Vivian.",[± 1520],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=31&tbl=gln_edit&no=5802,32,Chansons,Sensuyvent plusieurs belles chansons composées nouvellement.,"Ge, J. Vivian.",[± 1520],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=32&tbl=gln_edit&no=5818,33,Clément VII,"[Bulle datée de Rome, le 14 juin 1532, ordonannt un jeûne et des prières à l'occasion des progrès de l'armée turque]","[Ge], [W. Koeln].",1532,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=33&tbl=gln_edit&no=5817,34,Clément VII,[Lettres d'indulgence du pape Clément VII résultant d'une décision de 1529 en faveur de la Croisade],"[Ge], [W. Koeln ?].",1531,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=34&tbl=gln_edit&no=4843,35,Confession,Confession et raison de la foy de maistre Noel Beda.,"« Pa », [P. de Vingle].",[1533],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=35&tbl=gln_edit&no=5703,36,Const. synod.,Constitutiones synodales in sancta synodo in ecclesia Gebennensi,"Ge, W. Koeln etc..",1523,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=36&tbl=gln_edit&no=5698,37,Const. synod.,Constitutiones synodales ecclesie et episcopatus Lausannensis,"Ge, W. Koeln etc..",1523,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=37&tbl=gln_edit&no=5704,38,Const. synod.,Constitutiones synodales augustensis dyocesis.,"[Ge], [J. Vivian ?].",[± 1520],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=38&tbl=gln_edit&no=5739,39,Couronnement,"Coronnement du roy de Behemen, archeduc Ferdinande, etc. en la cite de Prag en l’an M. D. XXII.","[Ge], W. Koeln.",[1527],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=39&tbl=gln_edit&no=6187,40,J. Critin,Copie de unes lettres,"[Ne], [P. de Vingle ?].",[1536],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=40&tbl=gln_edit&no=5814,41,Deux,Deux couronnementz du très illustre et puissant prince Charles,"Ge, W. Koeln.",[1530],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=41&tbl=gln_edit&no=4875,42,Dialogue,Dyalogue et ung merveilleux parlement faict pas loing de Trient.,"[Ge], [W. Koeln].",1522,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=42&tbl=gln_edit&no=5821,43,Dies,Dies feriati observati in ducatu Sabaudie et comitatu Gebenensi,"Ge, G. Pomard.",1533,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=43&tbl=gln_edit&no=5758,44,Doctrine,Doctrine et instruction des chrestiens.,"Ge, W. Koeln.",[1532],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=44&tbl=gln_edit&no=5751,45,Æ. Donatus,Accidentia partium orationis,"[Ge], [J. Vivian].",[1515/1520],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=45&tbl=gln_edit&no=5750,46,Æ. Donatus,Accidentia partium orationis,"Ge, J. Vivian.",1518,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=46&tbl=gln_edit&no=5752,47,Æ. Donatus,Accidentia partium orationis,"[Ge], [W. Koeln].",[± 1520],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=47&tbl=gln_edit&no=5753,48,Æ. Donatus,Partes orationis,"Ge, W. Koeln.",1522,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=48&tbl=gln_edit&no=5754,49,Æ. Donatus,Partes orationis.,"Ge, W. Koeln.",1524,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=49&tbl=gln_edit&no=5909,50,D’une,"D'une escharmouche donnée à Levrerszdorff, le viij. jour de septembre l’an Mil. ccccc. xxxij.","[Ge], W. Koeln.",[1532],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=50&tbl=gln_edit&no=1314,51,Édit,"Edit de convocation du Conseil de Berne pour la dispute du 1er octobre 1536 : Nous l'advoyé, Petit et Grand Conseil","[Ge], [W. Koeln].",1536,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=51&tbl=gln_edit&no=1313,52,[M. d’Ennetière],Guerre et deslivrance de la ville de Geneve,"[Ge], [W. Koeln].",1536,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=52&tbl=gln_edit&no=5810,53,Entrée,Entrée de la Imperiale Magesté à Boloigne,"Ge, W. Koeln.",[± 1529],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=53&tbl=gln_edit&no=5013,54,Exhortation,Exhortation sur ces sainctes parolles de N. S. Jesu. Retournez vous et croyez à l'evangile.,"[Ge ?], [P. de Vingle].",[1534 ?],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=54&tbl=gln_edit&no=1310,55,Extrait,Extrait d'aucuns registres trouvés en la tresourie de Poligny touchant la mayson de Bourgoigne.,"Ge, G. Pomard.",1535,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=55&tbl=gln_edit&no=5808,56,Faits,"Faictz du chien insaciable du sang chrestien, nouvellement translaté d'allemant en francoys","Ge, W. Koeln.",[1526],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=56&tbl=gln_edit&no=1312,57,[G. Farel],Conclusiones Lausanne disputande. Les conclusions qui doibvent estre disputees a Lausanne,"[Ge], [W. Koeln].",[1536],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=57&tbl=gln_edit&no=7,58,[G. Farel],Confession de la foy,"[Ge], [W. Koeln].",1537,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=58&tbl=gln_edit&no=1315,59,[G. Farel],Confession de la Foy.,"[Ge], [W. Koeln].",[1536],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=59&tbl=gln_edit&no=1494,60,[G. Farel],"Letres certaines d'aucuns grandz troubles et tumultes advenuz à Geneve l'an 1534, avec la disputation faicte l'an 1534","[Ne], [P. de Vingle].",[1534],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=60&tbl=gln_edit&no=1492,61,[G. Farel],"Maniere et fasson qu'on tient en baillant le sainct baptesme, et en espousant, et à la saincte Cene","Ne, P. de Vingle.",1533,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=61&tbl=gln_edit&no=6517,62,[G. Farel],Pater noster et le Credo en francoys,"[Ge], [W. Koeln].",[± 1536],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=62&tbl=gln_edit&no=1491,63,[G. Farel],"Summaire, et briefve declaration d'aucuns lieux fort necessaires. Item, ung traicté du Purgatoire.","[Ne], [P. de Vingle].",1534,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=63&tbl=gln_edit&no=5048,64,J. Gacy,Trialogue nouveau contenant lexpression des erreurs de Martin Luther.,"[Ge], [W. Koeln].",1524,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=64&tbl=gln_edit&no=5811,65,Grand,Grand merveilles advenir en cestuy an MDXXIX.,"[Ge], [W. Koeln].",[1529],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=65&tbl=gln_edit&no=5565,66,J. Grünpeck,Prognostication commencant l'an XXXII jusques en l'an M. D. XL.,"Ge, W. Koeln.",[1532],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=66&tbl=gln_edit&no=5755,67,Guarino Veron.,Regule grammaticales.,"Ge, W. Koeln.",1522,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=67&tbl=gln_edit&no=5693,68,Heures,[Hore beate Marie secundum usum Ecclesie Gebennensis],"[Ge ?], [G. Pomard ?].",[1515/1520],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=68&tbl=gln_edit&no=5692,69,Heures,[Hore beate marie virginis ad longum absque aliqua requisitione secundum usum Lausannensem],"[Ge], [W. Koeln].",[± 1525],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=69&tbl=gln_edit&no=5784,70,Jugement,[Jugement rendu par trois chanoines de Genève] Guillermus de Vegio. Ludovicus Salterius et Ludovicus de Menthone canonici Ecclesie cathedralis Sancti Petri Gebennensis,"[Ge], [W. Koeln].",[1522],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=70&tbl=gln_edit&no=5713,71,"Léon X, pape","[Lettre d'indulgences pour les bienfaiteurs de l'église Saint-Sébastien de Rome, de 1520]","[Ge], [J. Vivian].",1520,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=71&tbl=gln_edit&no=5712,72,"Léon X, pape",[Lettre d'indulgences pour les bienfaiteurs de Saint-Pierre de Rome ?],"[Ge], [W. Koeln].",[± 1520],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=72&tbl=gln_edit&no=5756,73,Livre,Livre de Jesus,"[Ge], [J. Vivian].",[± 1520],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=73&tbl=gln_edit&no=4486,74,[M. Luther],"Faictz de Jesus Christ et du Pape : nouvellement reveuz, corrigez, et augmentez.","[Ne], [P. de Vingle].",[1534 ?],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=74&tbl=gln_edit&no=4494,75,[M. Luther],Maniere de lire levangile et quel proffit on en doibt attendre.,"[Ge ?], [P. de Vingle].",[± 1533],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=75&tbl=gln_edit&no=4499,76,[M. Malingre],"Moralité de la maladie de Chrestienté, a .xiij. personnage.","[Ne], [P. de Vingle].",1533,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=76&tbl=gln_edit&no=4500,77,[M. Malingre],Noelz nouveaulx,"[Ne], [P. de Vingle].",[1533],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=77&tbl=gln_edit&no=4822,78,[M. Malingre],"Plusieurs belles et bonnes chansons, que les chrestiens peuvent chanter en grande affection de cueur: pour et affin de soulager leurs esperitz et de leur donner repos en dieu","[Ne], [P. de Vingle].",1533,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=78&tbl=gln_edit&no=6958,79,Manière,"Maniere, ordre et fasson d'espouser et confirmer les mariages","Ge, W. Koeln.",1537,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=79&tbl=gln_edit&no=1920,80,[A. Marcourt],Articles veritables sur les abuz de la Messe papale,"[Ne], [P. de Vingle].",[1534],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=80&tbl=gln_edit&no=1953,81,[A. Marcourt],Declaration de la messe.,"[Ne], [P. de Vingle].",[1534],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=81&tbl=gln_edit&no=1912,82,[A. Marcourt],Livre des marchans,"« Co », [P. de Vingle].",1533,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=82&tbl=gln_edit&no=1913,83,[A. Marcourt],"Livre des marchans, reveu et augmenté.","[Ne], [P. de Vingle].",1534,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=83&tbl=gln_edit&no=1952,84,[A. Marcourt],Petit traicté tres utile et salutaire de la saincte eucharistie.,"[Ne], [P. de Vingle].",1534,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=84&tbl=gln_edit&no=5809,85,Merveilles,Merveilles advenir en cestuy an vingt et sis.,"[Ge], [W. Koeln].",[1526],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=85&tbl=gln_edit&no=5786,86,P. Michault,Doctrinal de court,"Ge, J. Vivian.",1522,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=86&tbl=gln_edit&no=5787,87,P. Michault,Doctrinal de court,"Ge, [J. Vivian].",1528,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=87&tbl=gln_edit&no=5679,88,Missel,Missale ad usum Lausannensem,"Ly, s.n. etc..",1522,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=88&tbl=gln_edit&no=6763,89,Missel de Tarentaise,Missale ad usum ecclesia metropolitane sancti Petri Tharenthasiensis,"Ge, G. Pomard.",1529,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=89&tbl=gln_edit&no=5681,90,Missel portatif,Missale parvum.,"[Ge], [W. Koeln] etc..",[± 1520],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=90&tbl=gln_edit&no=5798,91,M. de Luzzi,Anothomia Mundini,"Ge, s.n..",1519,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=91&tbl=gln_edit&no=5777,92,T. Muyssart,Judicium astronomicum anni M. D. XXIII.,"Ge, W. Koeln.",[1522],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=92&tbl=gln_edit&no=5778,93,Nomination,[Acte de nomination d'un recteur et curé paroissial dans le diocèse de Lausanne par le vicaire général au nom de l'évêque Sébastien de Montfalcon],"[Ge], [W. Koeln].",[± 1520],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=93&tbl=gln_edit&no=6259,94,Office,Officium cum missa sancte syndonis sudarium Christi,"Ge, J. Vivian.",1519,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=94&tbl=gln_edit&no=5687,95,Office,Officium sancte syndonis cum missa ejusdem.,"Ge, W. Koeln.",[± 1520],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=95&tbl=gln_edit&no=5688,96,Office,[Officium sancte syndonis cum missa ejusdem],"[Ge], [W. Koeln].",1521,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=96&tbl=gln_edit&no=4507,97,[P. R. Olivétan],Instruction des enfans,"[Ge], [P. de Vingle].",[1533],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=97&tbl=gln_edit&no=1317,98,[P. R. Olivétan],Instruction dés enfants,"Ge, J. Girard.",1537,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=98&tbl=gln_edit&no=5799,99,Ordonnance,"Ordonnance des royaulmes, duchez appartenant à Charles roi d'Espaigne","[Ge], [W. Koeln].",[± 1519],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=99&tbl=gln_edit&no=5805,100,Ordonnances,"Ordonnances et statutz faitz aux par le duc de Savoye en la cité de Mostier en Tharenteyse, le 15 jour de septembre 1522","[Ge], [W. Koeln] etc..",1522,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=100&tbl=gln_edit&no=5795,101,[Othon de Meung],De viribus herbarum. [6e éd.],"[Ge], [J. Vivian].",[± 1517],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=101&tbl=gln_edit&no=5652,102,Ovidius,"De arte amandi, translaté en francoys.","Ge, s.n..",[± 1525],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=102&tbl=gln_edit&no=5812,103,P. Paracelsus,Practique composée sur Europe commençant l'an 1530 durant jusques en l'an 34 suyvant,"[Ge], [W. Koeln].",[1530],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=103&tbl=gln_edit&no=5319,104,Pardons,"Grans pardons et indulgences, le tresgrand Jubile de plainiere remission.","« Ga », [P. de Vingle].",[± 1533],
