Lien,,AuteurÊ,Titre bref,Lieu/Imprimeur,Date,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=16&tbl=gln_edit&no=90,17,Bible (fr.),Bible en francois,"Ge, J. Girard.",1546,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=17&tbl=gln_edit&no=91,18,Bible (fr.),Bible en francois,"[Ge], [J. Girard].",1546,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=18&tbl=gln_edit&no=1342,19,Bible (fr.),"Bible, translaté en langue françoise","[Ge], [J. Girard].",1540,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=19&tbl=gln_edit&no=1356,20,Bible. Apocr.,Livres apocryphes,"[Ge], [J. Girard].",1546,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=20&tbl=gln_edit&no=1319,21,"Bible. Pr, etc","Livres de Salomoh. Lés Proverbes, L'Ecclesiaste, le Cantique dés cantiques. Translatez d'Ebrieu en Francoys","Ge, J. Girard.",1538,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=21&tbl=gln_edit&no=1376,22,Bible. Ps,Cinquante pseaumes en françois par Clement Marot,"[Ge], [J. Girard].",1543,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=22&tbl=gln_edit&no=46,23,Bible. Ps,Cinquante pseaumes en françois par Clement Marot.,"[Ge], [J. Girard].",1543,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=23&tbl=gln_edit&no=1316,24,Bible. Ps,Psalmes de David. Translatez en langue françoyse,"Ge, [J. Girard].",1537,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=24&tbl=gln_edit&no=1324,25,Bible. Ps,Psalmes de David. Translatez en langue françoyse,"[Ge], [J. Girard].",1539,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=25&tbl=gln_edit&no=1455,26,Bible. Ps,Pseaumes de David mis en rithme françoyse par Clement Marot,"Ge, J. Girard.",1547,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=26&tbl=gln_edit&no=1812,27,Bible. Ps,"Pseaumes de David, mis en rithme françoyse par Clement Marot","Ge, J. Girard.",1550,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=27&tbl=gln_edit&no=6854,28,Bible. Ps,Pseaumes en françois par Clement Marot,"[Ge], [J. Girard].",[± 1538],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=28&tbl=gln_edit&no=4654,29,Bible. Ps,Sept psalmes du pecheur converty à Dieu,"[Ge], [J. Girard].",1541,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=29&tbl=gln_edit&no=6309,30,Bible. Ps,[Pseaumes de David mis en rithme françoyse par Clement Marot],"[Ge], [J. Girard ?].",1549,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=30&tbl=gln_edit&no=6113,31,Bible. N.T.,Nouveau testament,"[Ge ?], P. de Vingle.",1533,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=31&tbl=gln_edit&no=5,32,Bible. N.T.,Nouveau Testament en françois,"Ge, [J. Girard].",1536,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=32&tbl=gln_edit&no=6,33,Bible. N.T.,Nouveau Testament en françois,"[Ge], [J. Girard].",1536,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=33&tbl=gln_edit&no=14,34,Bible. N.T.,Nouveau Testament en françois,"Ge, J. Michel.",1538,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=34&tbl=gln_edit&no=15,35,Bible. N.T.,Nouveau Testament en françois,"[Ge], J. Michel.",1538,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=35&tbl=gln_edit&no=21,36,Bible. N.T.,Nouveau Testament en françois,"[Ge], [J. Girard].",1539,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=36&tbl=gln_edit&no=54,37,Bible. N.T.,Nouveau Testament en françois.,"[Ge], [J. Girard].",1543,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=37&tbl=gln_edit&no=53,38,Bible. N.T.,Nouveau Testament en françois. Reveu par M. Jehan Calvin,"Ge, J. Girard.",1543,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=38&tbl=gln_edit&no=66,39,Bible. N.T.,"Nouveau Testament, en françois.","[Ge], [J. Michel].",1544,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=39&tbl=gln_edit&no=100,40,Bible. N.T.,"Nouveau Testament, en françois. Reveu par Jean Calvin","[Ge], [J. Girard].",1546,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=40&tbl=gln_edit&no=4757,41,H. Bodius,Premiere partie de l'union de plusieurs passaiges de l'escripture saincte. Reveu et corrigé,"« An », [P. de Vingle].",1533,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=41&tbl=gln_edit&no=1327,42,H. Bodius,Premiere partie de l'union de plusieurs passaiges de l'escripture.,"[Ge], [J. Michel].",1539,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=42&tbl=gln_edit&no=4758,43,H. Bodius,Seconde partie de l'union de plusieurs passages de l'escripture saincte. Reveu et corrigé,"« An », [P. de Vingle].",1533,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=43&tbl=gln_edit&no=5910,44,H. Bodius,Seconde partie de l'union de plusieurs passaiges de l'escripture.,"[Ge], [J. Michel].",1539,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=44&tbl=gln_edit&no=1377,45,F. Bonivard,Ballade à la louange de Geneve tant sur l'ancienne que nouvelle devise de Geneve,"[Ge], [J. Girard].",1543,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=45&tbl=gln_edit&no=1471,46,F. Bonivard,De la noblesse et de ses offices,"[Ge], [J. Girard].",1549,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=46&tbl=gln_edit&no=1813,47,L. Bourgeois,"Droict chemin de musique, avec la maniere de chanter les pseaumes par usage ou ruse","Ge, [J. Girard].",1550,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=47&tbl=gln_edit&no=1451,48,L. Bourgeois,Table pour connaître quel psaume on doit chanter le dimanche et le mercredi,"Ge, s.n..",1546,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=48&tbl=gln_edit&no=116,49,J. de Bourgogne & al.,"Apologia Iacobi a Burgundia, [traduit par François Bauduin]","[Ge], [J. Girard].",[1548],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=49&tbl=gln_edit&no=1432,50,Bref,Brief traicté de purgatoire,"[Ge], [J. Girard].",1545,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=50&tbl=gln_edit&no=5819,51,A. Brelochs,Practique ou pronostication nouvelle d'Allemaigne.,"Ge, G. Pomard.",[1532],
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=51&tbl=gln_edit&no=1325,52,Brève,Breve exposition faicte par maniere d'exhortation et d'oraison prinse sur le Pater noster.,"[Ge], [J. Girard].",1539,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=52&tbl=gln_edit&no=1326,53,Brève,Breve instruction faicte par maniere de lettre missive pour se confesser en verité,"[Ge], [J. Girard].",1539,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=53&tbl=gln_edit&no=1343,54,[M. Bucer],"Exposition de l'Evangile selon S. Matthieu, translatée de latin en francoys.","[Ge], [J. Michel].",1540,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=54&tbl=gln_edit&no=1402,55,M. Bucer,Exposition sur l'evangile selon S. Matthieu.,"[Ge], [J. Girard].",1544,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=55&tbl=gln_edit&no=1401,56,M. Bucer,Exposition sur l'Evangile selon sainct Matthieu.,"Ge, J. Girard.",1544,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=56&tbl=gln_edit&no=1433,57,[H. Bullinger],Exposition sur les deux epistres aux Thessaloniciens,"Ge, J. Girard.",1545,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=57&tbl=gln_edit&no=1240,58,[H. Bullinger],Exposition sur les deux epistres de sainct Paul envoiees aux Thessaloniciens,"Ge, M. Du Bois.",1540,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=58&tbl=gln_edit&no=1472,59,H. Bullinger,Source d'erreur : redigé en deux livres,"Ge, J. Girard.",1549,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=59&tbl=gln_edit&no=88,60,[J. Calvin],"Pro G. Farello adversus Petri Caroli calumnias, defensio","[Ge], [J. Girard].",1545,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=60&tbl=gln_edit&no=102,61,J. Calvin,Acta synodi tridentinæ cum antidoto,"[Ge], [J. Girard].",1547,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=61&tbl=gln_edit&no=29,62,[J. Calvin],"Actes de la journee imperiale, tenue en la cité de Regespourg.","[Ge], [J. Girard].",1541,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=62&tbl=gln_edit&no=38,63,[J. Calvin],"Actes de la journee imperiale, tenue en la cité de Reguespourg.","[Ge], [J. Girard].",1542,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=63&tbl=gln_edit&no=499,64,J. Calvin,Actes du concile de Trente,"[Ge], [J. Girard].",[1548] « 1561 »,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=64&tbl=gln_edit&no=126,65,J. Calvin,"Actes du Concile de Trente, avec le remede contre la poison","[Ge], [J. Girard].",1548,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=65&tbl=gln_edit&no=134,66,J. Calvin,"Admonitio adversus astrologiam judiciariam, traduit par François Hotman","Ge, J. Girard.",1549,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=66&tbl=gln_edit&no=115,67,J. Calvin,"Admonitio de reliquiis, traduit par Nicolas Des Gallars","Ge, J. Girard.",1548,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=67&tbl=gln_edit&no=135,68,J. Calvin,"Advertissement contre l'astrologie, qu'on appelle judiciaire","Ge, J. Girard.",1549,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=68&tbl=gln_edit&no=59,69,[J. Calvin],Advertissement sur la censure qu'ont faicte les Bestes de Sorbonne.,"[Ge], [J. Girard].",1544,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=69&tbl=gln_edit&no=103,70,[J. Calvin],Advertissement sur la censure qu'ont faicte les Bestes de Sorbonne.,"[Ge], [J. Girard].",1547,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=70&tbl=gln_edit&no=45,71,J. Calvin,"Advertissement tresutile du proffit qui reviendroit a la Chrestienté s'il se faisoit inventoire de tous les corps sainctz, et reliques,","Ge, J. Girard.",1543,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=71&tbl=gln_edit&no=58,72,J. Calvin,"Advertissement tresutile du profit qui reviendroit a la Chrestienté s'il se faisoit inventoire de tous les corps sainctz, et reliques.","Ge, J. Girard.",1544,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=72&tbl=gln_edit&no=73,73,J. Calvin,"Advertissement tresutile du profit qui reviendroit a la Chrestienté s'il se faisoit inventoire de tous les corps sainctz, et reliques.","Ge, J. Girard.",1545,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=73&tbl=gln_edit&no=156,74,J. Calvin,Appendix libelli adversus Interim,"[Ge], J. Girard.",1550,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=74&tbl=gln_edit&no=74,75,J. Calvin,Argument et sommaire de l'epistre aux Romains.,"[Ge], [J. Girard].",1545,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=75&tbl=gln_edit&no=65,76,[J. Calvin],Articles de la sacrée faculté de theologie de Paris.,"[Ge], [J. Girard].",1544,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=76&tbl=gln_edit&no=60,77,[J. Calvin],Articuli facultatis Parisiensis cum antidoto,"[Ge], [J. Girard].",1544,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=77&tbl=gln_edit&no=75,78,J. Calvin,Brieve instruction pour armer tous bons fideles contre les erreurs de les Anabaptistes,"Ge, J. Girard.",1545,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=78&tbl=gln_edit&no=61,79,J. Calvin,Brieve instruction pour armer tous bons fideles contre les erreurs des Anabaptistes,"Ge, J. Girard.",1544,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=79&tbl=gln_edit&no=6976,80,J. Calvin,Catechisme,"Ge, A. & J. Rivery etc..",1550,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=80&tbl=gln_edit&no=148,81,J. Calvin,Catechisme de Geneve,"Ge, J. Girard.",1549,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=81&tbl=gln_edit&no=118,82,J. Calvin,Catechisme de Geneve.,"Ge, J. Girard.",1548,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=82&tbl=gln_edit&no=39,83,J. Calvin,Catechisme de l'eglise de Geneve,"[Ge], [J. Girard].",1541,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=83&tbl=gln_edit&no=76,84,J. Calvin,Catechisme de l'Eglise de Geneve.,"[Ge], [J. Girard].",1545,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=84&tbl=gln_edit&no=157,85,[J. Calvin],Catechismo,"[Ge], [J. Girard].",1550,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=85&tbl=gln_edit&no=158,86,J. Calvin,Catechismus ecclesiæ Genevensis,"Ge, J. Crespin etc..",1550,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=86&tbl=gln_edit&no=105,87,J. Calvin,"Commentaire sur la premiere epistre aux Corinthiens, traduit de latin en françois","[Ge], J. Girard.",1547,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=87&tbl=gln_edit&no=120,88,J. Calvin,"Commentaire sur quatre Epistres de S. Paul : aux Galatiens, Ephesiens, Philippiens, Colossiens","Ge, J. Girard.",1548,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=88&tbl=gln_edit&no=161,89,J. Calvin,Commentaires sur l'Epistre à Tite,"Ge, J. Girard.",1550,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=89&tbl=gln_edit&no=138,90,J. Calvin,"Commentaires sur l'epistre aux Ebrieux, traduit en français","Ge, J. Girard.",1549,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=90&tbl=gln_edit&no=159,91,J. Calvin,Commentaires sur l'Epistre aux Romains,"Ge, J. Girard.",1550,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=91&tbl=gln_edit&no=160,92,J. Calvin,Commentaires sur l'Epistre de sainct Jaques,"Ge, J. Girard.",1550,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=92&tbl=gln_edit&no=106,93,J. Calvin,"Commentaires sur la seconde epistre aux Corinthiens, traduit de Latin en François","[Ge], J. Girard.",1547,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=93&tbl=gln_edit&no=119,94,J. Calvin,"Commentaires sur les deux epistres à Timothee, traduites du latin","Ge, J. Girard.",1548,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=94&tbl=gln_edit&no=140,95,J. Calvin,Commentarii in epistolam ad Hebræos,"Ge, J. Girard.",1549,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=95&tbl=gln_edit&no=163,96,J. Calvin,Commentarii in epistolam ad Titum,"Ge, J. Girard.",1550,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=96&tbl=gln_edit&no=1293,97,J. Calvin,Commentarii in posteriorem Pauli epistolam ad Thessalonicenses,"Ge, J. Girard.",1550,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=97&tbl=gln_edit&no=162,98,J. Calvin,Commentarii in priorem Pauli epistolam ad Thessalonicenses,"Ge, J. Girard.",1550,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=98&tbl=gln_edit&no=121,99,J. Calvin,"Commentarii in quatuor Pauli epistolas, ad Galatas, ad Ephesios, ad Philippenses, ad Colossenses","Ge, J. Girard.",1548,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=99&tbl=gln_edit&no=122,100,J. Calvin,Commentarii in secundam epistolam ad Corinthios,"Ge, J. Girard.",1548,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=100&tbl=gln_edit&no=123,101,J. Calvin,Commentarii in utranque Pauli epistolam ad Timotheum,"Ge, J. Girard.",1548,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=101&tbl=gln_edit&no=79,102,J. Calvin,Contre la secte phantastique des Libertins.,"Ge, J. Girard.",1545,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=102&tbl=gln_edit&no=107,103,J. Calvin,Contre la secte phantastique et furieuse des Libertins. Avec une epistre contre un certain Cordelier.,"[Ge], [J. Girard].",1547,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=103&tbl=gln_edit&no=165,104,J. Calvin,De prædestinatione et providentia Dei. De libertate christiana,"Ge, J. Crespin etc..",1550,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=104&tbl=gln_edit&no=166,105,J. Calvin,De Scandalis,"Ge, J. Crespin.",1550,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=105&tbl=gln_edit&no=167,106,J. Calvin,De vita hominis christiani,"Ge, J. Crespin etc..",1550,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=106&tbl=gln_edit&no=141,107,J. Calvin,De vitandis superstitionibus,"Ge, J. Girard.",1549,
