Lien,,Auteur ,Titre bref,Lieu/Imprimeur,Date,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=13&tbl=gln_edit&no=1910,14,Alphabetum,"Alphabetum hebraicum, accuratiora omnia","[Ge], R. Estienne.",1554,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=14&tbl=gln_edit&no=2132,15,Appianus,"Hispanica et Annibalica, latine nunc primum edita, ex Francisci Beraldi interpretatione","[Ge], H. Estienne, typographe d’Ulrich Fugger",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=15&tbl=gln_edit&no=2019,16,Ps-Aristoteteles & al.,<Ek tôn Aristotelous kai Theophrastou>. Aristotelis et Theophrasti scripta quædam,"[Ge], H. Estienne, typographe d’Ulrich Fugger",1557,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=16&tbl=gln_edit&no=1477,17,Arrêts,Arrestz et ordonnances royaux de la souveraine court du Royaume des Cieux.,"[Ge], [J. Girard].",1550,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=17&tbl=gln_edit&no=2020,18,Athenagoras,"<Apologia peri christianôn. Peri anastaseôs nekrôn>. Apologia pro christianis ad imperatores Antoninum & Commodum. Ejusdem De resurrectione mortuorum, uterque græce et latine.","[Ge], H. Estienne.",1557,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=18&tbl=gln_edit&no=1576,19,St Augustinus,"Epitome omnium operum, éd. Johann Piscatorius","[Ge], J. Crespin & Nicolas Barbier",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=19&tbl=gln_edit&no=1577,20,St Augustinus,"Epitome omnium operum, éd. Johann Piscatorius","[Ge], J. Crespin.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=20&tbl=gln_edit&no=1889,21,H. de Barran,Tragique comedie françoise de l'homme justifié par foy,"[Ge], [Z. Durant].",1554,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=21&tbl=gln_edit&no=5837,22,N. Béda & al.,"Trois confessions de Foy notables et vrayement chrestiennes, asavoir, la confession de foy supposée de Noé Béda, La confession de foy de Huldrich Zwingle. Item la confession de Jean Garnier. Le tout reveu et augmenté.","[Ge], J. Durant.",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=22&tbl=gln_edit&no=6066,23,[Benedetto da M.],"Du Benefice de Jesuchrist crucifié, envers les Chrestiens. Traduict de vulgaire Italien.","[Ge], J. Berjon.",1552,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=23&tbl=gln_edit&no=1902,24,[T. de Bèze],Epistola magistri Benedicti Passavantii responsiva ad commissionem sibi datam a D. Petro Lyseto,"[Ge], [J. Crespin].",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=24&tbl=gln_edit&no=6829,25,[T. de Bèze],Epistola magistri Benedicti Passavantii responsiva ad commissionem sibi datam a D. Petro Lyseto,"[Ge], [J. Girard].",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=25&tbl=gln_edit&no=1933,26,[T. de Bèze],Epistola magistri Benedicti Passavantii responsiva ad commissionem sibi datam a venerabili D. Petro Lyseto,"[Ge], [P. Hamelin].",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=26&tbl=gln_edit&no=2135,27,[T. de Bèze],Epistola magistri Benedicti Passavantii responsiva ad commissionem sibi datam a venerabili D. Petro Lyseto,"[Ge], A. Reboul.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=27&tbl=gln_edit&no=1968,28,T. de Bèze,"Abraham sacrifiant (Psaume 31, traduit en vers).","[Ge], [J. Crespin].",1551,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=28&tbl=gln_edit&no=1478,29,T. de Bèze,Abraham sacrifiant. Tragedie françoise,"[Ge], [J. Crespin & Conrad Badius] ",1550,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=29&tbl=gln_edit&no=2047,30,T. de Bèze,Ad sycophantarum quorundam calumnias quibus unicum salutis nostræ fundamentum evertere nituntur responsio,"[Ge], C. Badius.",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=30&tbl=gln_edit&no=1909,31,T. de Bèze,Alphabetum græcum.,"[Ge], R. Estienne.",1554,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=31&tbl=gln_edit&no=1886,32,T. de Bèze,Brefve exposition de la table contenant les principaux poincts de la religion chrestienne,"[Ge], J. Rivery.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=32&tbl=gln_edit&no=2133,33,T. de Bèze,Confessio christianæ fidei.,"[Ge], J. Bonnefoy.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=33&tbl=gln_edit&no=2105,34,T. de Bèze,"Confession de la foy chrestienne, reveue et augmentée","[Ge], C. Badius.",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=34&tbl=gln_edit&no=2104,35,T. de Bèze,Confession de la foy chrestienne.,"[Ge], C. Badius.",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=35&tbl=gln_edit&no=2134,36,T. de Bèze,Confessione della fede christiana,"[Ge], F. Todesco.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=36&tbl=gln_edit&no=2106,37,T. de Bèze,"De Cœna Domini, plana et perspicua tractatio.","[Ge], R. Estienne.",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=37&tbl=gln_edit&no=1911,38,T. de Bèze,"De hæreticis a civili magistratu puniendis libellus, adversus Martini Bellii farraginem","[Ge], R. Estienne.",1554,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=38&tbl=gln_edit&no=1963,39,T. de Bèze & al.,Odes chrestiennes,"[Ge], [C. Badius].",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=39&tbl=gln_edit&no=1922,40,[T. de Bèze],"Response à la confession du feu duc Jean de Northumbelande, n'agueres decapité en Angleterre","[Ge], [J. Girard].",1554,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=40&tbl=gln_edit&no=1903,41,T. de Bèze,Sacrifice d'Abraham,"[Ge], [C. Badius ?].",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=41&tbl=gln_edit&no=1885,42,[T. de Bèze],Satyres chrestiennes de la cuisine papale,"[Ge], C. Badius.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=42&tbl=gln_edit&no=4190,43,T. de Bèze,"Summa totius christianismi, sive descriptio et distributio causarum salutis electorum et exitii reprobatorum ex sacris litteris collecta","[Ge ?], s.n..",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=43&tbl=gln_edit&no=2136,44,T. de Bèze,"Traitté de l'authorité du magistrat en la punition des heretiques, traduit en françois par Nicolas Colladon","[Ge], C. Badius.",1560 (-1559),,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=44&tbl=gln_edit&no=2137,45,Bible (angl.),Bible and Holy Scriptures,"Ge, R. Hall.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=45&tbl=gln_edit&no=398,46,Bible (fr.),Bible,"[Ge], M. de La Roche.",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=46&tbl=gln_edit&no=456,47,Bible (fr.),Bible,"[Ge], R. Estienne [& Henri II Estienne]",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=47&tbl=gln_edit&no=457,48,Bible (fr.),Bible,"[Ge], R. Estienne & Henri II Estienne",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=48&tbl=gln_edit&no=237,49,Bible (fr.),Bible en françois,"Ge, P. Hamelin.",1552,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=49&tbl=gln_edit&no=238,50,Bible (fr.),Bible en françois,"[Ge], J. Crespin.",1552,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=50&tbl=gln_edit&no=239,51,Bible (fr.),Bible en françois,"« Av », [J. Crespin].",1552,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=51&tbl=gln_edit&no=261,52,Bible (fr.),Bible en françois,"[Ge], J. Crespin.",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=52&tbl=gln_edit&no=262,53,Bible (fr.),Bible en françois,"[Ge], R. Estienne.",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=53&tbl=gln_edit&no=263,54,Bible (fr.),Bible en françois,"[Ge], J. Girard.",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=54&tbl=gln_edit&no=264,55,Bible (fr.),Bible en françois,"[Ge], A. & J. Rivery & Jean Rivery",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=55&tbl=gln_edit&no=265,56,Bible (fr.),Bible en françois,"[Ge], [J. Girard].",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=56&tbl=gln_edit&no=299,57,Bible (fr.),Bible en françois,"Ge, J. Crespin.",1554,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=57&tbl=gln_edit&no=300,58,Bible (fr.),Bible en françois,"[Ge], J. Crespin.",1554,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=58&tbl=gln_edit&no=301,59,Bible (fr.),Bible en françois,"[Ge], J. Crespin.",1554,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=59&tbl=gln_edit&no=314,60,Bible (fr.),Bible en françois,"[Ge], A. Cercia.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=60&tbl=gln_edit&no=315,61,Bible (fr.),Bible en françois,"[Ge], P. Sorel.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=61&tbl=gln_edit&no=316,62,Bible (fr.),Bible en françois,"Ge, R. Houdouyn.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=62&tbl=gln_edit&no=317,63,Bible (fr.),Bible en françois,"[Ge], P. Pignot.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=63&tbl=gln_edit&no=329,64,Bible (fr.),Bible en françois,"[Ge], J. Crespin.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=64&tbl=gln_edit&no=330,65,Bible (fr.),Bible en françois,"[Ge], J. Crespin.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=65&tbl=gln_edit&no=331,66,Bible (fr.),Bible en françois,"[Ge], J. Crespin & Nicolas Barbier",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=66&tbl=gln_edit&no=6873,67,Bible (fr.),Bible en françois,"« Ly », [A. Cercia].",1557,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=67&tbl=gln_edit&no=413,68,Bible (fr.),Bible en françois,"[Ge], Z. Durant.",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=68&tbl=gln_edit&no=439,69,Bible (fr.),Bible en françois,"[Ge], A. Reboul.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=69&tbl=gln_edit&no=350,70,Bible (fr.),Bible en françois.,"[Ge], N. Barbier.",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=70&tbl=gln_edit&no=351,71,Bible (fr.),Bible en françois.,"[Ge], [N. Barbier].",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=71&tbl=gln_edit&no=352,72,Bible (fr.),Bible en françois.,"[Ge], P. J. Poullain & René Houdouyn",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=72&tbl=gln_edit&no=353,73,Bible (fr.),Bible en françois.,"[Ge], [P. J. Poullain & René Houdouyn] ",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=73&tbl=gln_edit&no=348,74,Bible (fr.),Bible en françois. [Pseaumes de David. Forme des prieres. Catechisme].,"[Ge], P. Hamelin.",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=74&tbl=gln_edit&no=349,75,Bible (fr.),Bible en françois. [Pseaumes de David. Forme des prieres. Catechisme].,"Ge, P. Hamelin.",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=75&tbl=gln_edit&no=455,76,Bible (fr.),"Bible, en françois","[Ge], Z. Durant.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=76&tbl=gln_edit&no=205,77,Bible (fr.),"Bible, en françois, et reveuz","Ge, J. Crespin.",1551,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=77&tbl=gln_edit&no=206,78,Bible (fr.),"Bible, en françois, et reveuz","[Ge], J. Crespin.",1551,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=78&tbl=gln_edit&no=428,79,Bible (fr.),Bible. (Pseaumes de David. Forme des prieres. Catechisme).,"[Ge], N. Barbier & Thomas Courteau",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=79&tbl=gln_edit&no=437,80,Bible (fr.),Bible. (Pseaumes mis en rime françoise. Forme des prieres. Catechisme),"[Ge], A. Reboul.",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=80&tbl=gln_edit&no=438,81,Bible (fr.),Bible. (Pseaumes mis en rime françoise. Forme des prieres. Catechisme),"[Ge], F. Jaquy, Antoine Davodeau & Jacques Bourgeois",1560,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=81&tbl=gln_edit&no=1934,82,Bible (lat.),Biblia,"[Ge], C. Badius pour Robert I Estienne",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=82&tbl=gln_edit&no=2021,83,Bible (lat.),Biblia utriusque Testamenti,"[Ge], R. Estienne.",1556 (-1557),,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=83&tbl=gln_edit&no=5931,84,Bible. A.T.,Pseaumes de David mis en rime françoise. (Forme des prieres ecclesiastiques. Catechisme).,"[Ge], P. J. Poullain & Antoine Reboul",1558,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=84&tbl=gln_edit&no=3573,85,Bible. Os,"{Hoshe'a 'im targum}. Hosee, cum Thargum. (Joel-Jonah)","[Ge], [R. Estienne].",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=85&tbl=gln_edit&no=1895,86,"Bible. Pr, etc",Proverbes de Salomon. L'Ecclesiaste. Le Cantique des cantiques. Le livre de Sapience. L'Ecclesiastique.,"[Ge], R. Estienne.",1552,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=86&tbl=gln_edit&no=2107,87,Bible. Ps,"Boke of Psalmes, where in are conteined praiers, meditations.","Ge, R. Hall.",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=87&tbl=gln_edit&no=4191,88,Bible. Ps,One and fiftie psalmes in Englishe metre,"[Ge], [J. Crespin].",[1556],,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=88&tbl=gln_edit&no=5623,89,Bible. Ps,Psalmes of David,"[Ge], [C. Badius].",1557,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=89&tbl=gln_edit&no=1601,90,Bible. Ps,Psalmos de David en castellano por Juan Perez,"« Ve », [J. Crespin].",1557,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=90&tbl=gln_edit&no=340,91,Bible. Ps,Octante neuf Pseaumes de David mis en rime françoise,"[Ge], J. Girard.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=91&tbl=gln_edit&no=6313,92,Bible. Ps,Octante neuf Pseaumes de David mis en rime françoise,"[Ge], [P. Hamelin].",[1556],,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=92&tbl=gln_edit&no=282,93,Bible. Ps,Octante trois Pseaumes de David mis en rime françoise,"[Ge], A. & J. Rivery & Jean Rivery",1553,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=93&tbl=gln_edit&no=244,94,Bible. Ps,"Octante trois Pseaumes mis en rime françoise, avec six pseaumes. (Forme des prières. Catechisme)","[Ge], J. Crespin.",1554,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=94&tbl=gln_edit&no=305,95,Bible. Ps,"Octante trois Pseaumes mis en rime françoise, avec six pseaumes. (Forme des prières. Catechisme)","[Ge], J. Crespin.",1554,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=95&tbl=gln_edit&no=341,96,Bible. Ps,"Octante trois Pseaumes, mis en rime françoise avec 6 ps. (Forme des prières. Catechisme)","[Ge], J. Crespin.",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=96&tbl=gln_edit&no=366,97,Bible. Ps,"Octanteneuf Pseaulmes de David, mis en rithme françoise","[Ge], [S. Du Bosc].",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=97&tbl=gln_edit&no=6312,98,Bible. Ps,Octanteneuf Pseaumes de David mis en rime françoise,"[Ge], [N. Barbier, Pierre-Jacques Poullain & René Houdouyn]",[1556],,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=98&tbl=gln_edit&no=368,99,Bible. Ps,Octanteneuf Pseaumes de David mis en rime françoise. (Forme des prieres. Catechisme).,"[Ge], [N. Barbier].",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=99&tbl=gln_edit&no=432,100,Bible. Ps,Octanteneuf Pseaumes en rime françoise (Forme des prieres. Catechisme),"[Ge], J. Bonnefoy.",1559,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=100&tbl=gln_edit&no=367,101,Bible. Ps,"Octanteneuf Pseaumes, mis en rithme françoise","[Ge], [S. Du Bosc].",1556,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=101&tbl=gln_edit&no=6502,102,Bible. Ps,Octantetrois Pseaulmes de David : mis en ryme françoise.,"Ge, S. Du Bosc & Guillaume Guéroult",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=102&tbl=gln_edit&no=6310,103,Bible. Ps,Octantetrois Pseaulmes de David : mis en ryme françoyse.,"Ge, S. Du Bosc & Guillaume Guéroult",1555,,,
http://www.ville-ge.ch/musinfo/bd/bge/gln/notice/details.php?ref=/musinfo/bd/bge/gln/notice/simple.php&p=103&tbl=gln_edit&no=1982,104,Bible. Ps,Pseaumes de David mis en rime françoise,"[Ge], P. J. s.n..",[1556 ?],,,
